prompt,gen_title,gen_body,sim_top1,sim_top5_mean,novelty,nn_title,nn_excerpt
여전히 여기,여전히 여기,"그대의 마음을 흔들어주는
당신의 마음에서 온 그대여
나도 당신을 위해서
그대에게
사랑을 품도록 해주고 싶어
그리움의 마음이 되고 싶다면
그래서 아름다운 날이면
아름다운 날에요
이슬비 넝쿨에 빗대어서
어디에도 그리움이 있고 또
더듬기 전엔
푸른 햇살의 그림자
그리고 별이 되어
노래의 숲속 풍경이 있습니다
바람의 언덕으로 가는 길이 아름답고,
향기의 한 모퉁이로 가면
오월의 바람이 불어오는 곳입니다.
마음속에 들어있는 은",0.9089122414588928,0.8972071409225464,0.09108775854110718,고요함의 달빛 존재 천년의 성을 지나 바람처럼 달려오고 있는,당신의 봄을 닮은 꽃잎들이 생각이라면 이내 꽃이 피는 갯벌과 언덕에 아카시아 편지가 보내온 하얀 마음을 읽어볼 수 있는 산들바람 당신의 강물위에 마음을 다시 써내려 갑니다. 물결처럼 흘러 그리움의 하늘 호수가 보이면…
별빛 춤,별빛 춤,"흰 구름은 새들의 마음속에 들려주는
봄날의 노랫가락으로 흘러가는
마음이라는 단 하나의 시간 안에
어느새 달빛을 담아내는
아름다움의 시작이 될 수 있도록
별빛의 속삭임은
하얀 눈꽃잎처럼
그리움을 향해 달려갈 때
꿈의 시간이 되는 순간을 그려냅니다.
얼굴에 밴 꽃향기의 마음을 가져옵니다
그렇게 아름다운 날에요
가을을 물들이는
고요함의 외로움과 슬픔의 깊이는
나비들이 한 장의 그림 속에 있는
당신의 마음에 담긴 그리움일 것입니다.",0.9071789979934692,0.8988979458808899,0.09282100200653076,고요함의 달빛 존재 천년의 성을 지나 바람처럼 달려오고 있는,당신의 봄을 닮은 꽃잎들이 생각이라면 이내 꽃이 피는 갯벌과 언덕에 아카시아 편지가 보내온 하얀 마음을 읽어볼 수 있는 산들바람 당신의 강물위에 마음을 다시 써내려 갑니다. 물결처럼 흘러 그리움의 하늘 호수가 보이면…
별빛 노래,별빛 노래,"별빛이 되어 다시 별을 만드는
이슬비처럼 고운 자태로
별과 함께 떠나는 아름다운 풍경들
바람을 타고 날리는 꽃잎들의 노래
고운 그리움이 있는 곳에
하얀 하늘, 푸른 햇살이 그려놓은
은근한 추억의 기억속에도
아름다운 향기와
그렇게 반짝이는 봄날의 향기가 그리워지는 곳
기다림의 시간속에
노래를 기다리는 그 순간을 기쁘게 보내봅니다.
그래서 아름다우면서도 향기로운 날에요
꽃잎들이 빚어내는 새빨간 피부
당신의 마음속에서
그리움의 눈물이",0.9068796634674072,0.8921286463737488,0.09312033653259277,고요함의 달빛 존재 천년의 성을 지나 바람처럼 달려오고 있는,당신의 봄을 닮은 꽃잎들이 생각이라면 이내 꽃이 피는 갯벌과 언덕에 아카시아 편지가 보내온 하얀 마음을 읽어볼 수 있는 산들바람 당신의 강물위에 마음을 다시 써내려 갑니다. 물결처럼 흘러 그리움의 하늘 호수가 보이면…
 노을 바다,노을 바다,"어느 날
마음을 다잡은
지금은 안 보이는 산그늘에
아직도 가을이 깃들었네요
내 마음 속에 있는 그대와의 이별,
내 마음에 남아있는 그리움
사랑으로 채워지는 그 쓸쓸함을
살며시 눈물로 담아내고 있습니다.
노을에 담긴 그대들과의 추억..
나뭇잎이 되고
푸른 숲을 감싸는 이 가을
무심히 서있는 나비,
그대만의 빛남이 되어
가슴속에 묻어둔
당신의 마음을 더 깊게 그리고 싶습니다.
하늘의 별들이
서로의 가슴에 품고 있는 아름다운 꿈들,",0.8955604434013367,0.8774846792221069,0.10443955659866333,산수유 꽃,햇볕에 빛나는 노란 꽃잎 사랑의 흔적 따라 나는 길을 걷네. 봄바람에 실려 오는 따스한 향기 지난날의 추억 마음에 남아 흐르는 냇물 물끄러미 바라보며 흘러간 사랑을 생각해보네. 고요한 아침 해맑은 새들의 노래 산수유…
아침 물방울,아침 물방울,"새벽 하늘에는 별이 서있다
그리고 밤하늘은 푸른 하늘로
그대처럼 새들은 그대를 그리워하며
어느새 내 마음속에
꿈을 꾸는 날도 있네.
그래서 오늘은
이별의 의미를 알아듣게 되었네.
별빛으로 별빛을 비추며
마음을 흔들어주는
아침 이슬비 속에도 바람이 불어오면
고요함의 샘물이 올라오고
바람의 외로움을 채워주고 있어요
저녁 해가 지는 곳,
천년을 지나온 듯 고요
거미줄에 매달린
가을, 별을 만나면
하나",0.8941751718521118,0.8787664175033569,0.10582482814788818,가을이 오기전 별빛의 종소리에 초대받아 은색 울림과,당신의 식탁에 따듯한 차 한 잔 찬바람에 놀란 노래들을 달래주고 이제 별들이 보여주는 책을 읽어야 할 시간이면 당신의 꿈속 변하지 않는 초록색을 찾아와 동화의 끈을 묶어봅니다 이제 신비롭게도 마음의 골목길은 찾아오고…
아름다운 바람,아름다운 바람,"아련하게 피어나는 봄바람이구나.
어느새 고운 꽃송이처럼 핀 꽃잎에 감동이다
세상에 태어난 듯 기뻤다.
아름다운 풍경 속에 피어있는 향기는
그녀의 마음을 흔들어준 듯하다.
진달래꽃 향기 또한 온몸을 휘감으며
봄을 부르는 향기다.). 그리하여 꽃이 피는 동안
꿈은 사라지지 않았다.
고운 꽃잎은 그 순간에도 활짝 피고
오랜 세월 가슴에 맺힌 채
우리에게 주는 이 순간의 기쁨과 행복의 노래
무엇보다도 아름다웠기에..
마음이 듬뿍 담긴 그리움들이여",0.8867387771606445,0.8661362528800964,0.11326122283935547,봄은 추억의 계절,훈풍은 살랑살랑 스쳐 지나가고 새들도 지저귀며 나라간다 어느 계절 보다 봄은 피고 지며 수많은 꽃들이 피어났고 예쁜 미소로 반갑게 반겨주는 사랑스러운 마음이 있었다. 환희의 계절 봄이 되면 가슴에 찾아오시는 사랑하는…
바람의  춤,바람의  춤,"한여름밤 저물어 가는 강물이여서
무엇보다 물살의 무게에 쫓긴다
그렇게 스산한 바람이 되어도
바람의 춤은 이 세상 모든 것이
아름다움을 지켜주는 것
이제 그 아름다움으로만 보이는
고요함의 언덕은
소낙비처럼 바람에 흩날려져라 
별빛들이 모여 있는
당신의 달콤한 꿈과 노래들은
그리움의 시작을 알리는 날들을 만들어냅니다
그래서 오늘부터 아름다운 날에요
꽃잎들의 아침이슬 속에서
꿈의 시간이 오는 곳에
노래의 숲속에",0.8801347017288208,0.8758551478385925,0.1198652982711792,아름다움의 의미들도 초록색을 알아가는 길,별빛이 너무 밝아 마음에 애태움을 다 가질 수 없어 하나둘 내어주고 이제 빈 곳이 되어버린 생각의 반쯤 지나온 나뭇잎 외로움의 하나 기다림 그렇게 알 수 없는 당신의 꿈이 어느 곳에서도 바라보고 있다면 아름다움의 느…
시린 바람,시린 바람,"새소리처럼 스쳐가고
어른들의 마음속에 들어있는 그 소리도
우리 모두의 마음속 깊이
깊이를 파고들어서
그리고 다시 한 번
그 소리는/바람이 아니라
새소리라고 하리라..
고요한 아침이고 바람이니라.
내 손끝에 들려온 새소리를
날개로 만들어
그리움을 담아내는 바람의 시작을 기다리며
아침 이슬비가 내린다.
눈물이 흐르도록 눈물의 노래도 읊조린다.
봄날이 되면 하얀 이파리들이 피어오르듯이
그렇게 우리에게는 봄날의 향기만이 흐른다.
꽃잎마다 아름다운 향기",0.876896321773529,0.8738411068916321,0.12310367822647095,어느날 바람의 이야기처럼 살며시 눈으로 말하고,그 느낌이 포근하고 아늑하도록 저녁 하늘이 되고 달빛의 그림자가 되어 혼자라는 느낌을 알아가야 하는 기다림 그리움이라는 작은 숲속에도 때로는 새들의 아침 인사가 들려와 이렇게 오랜 창문마다 그려놓은 노을의 붉어진 아…
마음 위로,마음 위로,"너의 가슴
너를 사랑하여
사랑해 줄 것을 간절히 바란다.
그리고
너의 가슴도
내 마음을 감싸주어
이별의 슬픔을 씻어주신다.’고요
눈물로써가 아니라
고통으로 이겨낸 사랑을.
어려움을 딛고 일어선 한 생명을, 이 땅을 뜨겁게 하소서
하늘나라로 떠난 후
지혜로운 삶을 살다간 우리들이여.’라며
가슴을 쉼 없이 흔들게 하는
나뭇잎에 담긴 뜨거운 사랑에
나는 늘 감사하며
당신의 이름을 부르며
힘들었던 날을 돌아보며",0.8765828609466553,0.8530265688896179,0.12341713905334473,사랑의 시간,하지만 너는 아무 말 없이 다른 길을 택했고 내 노래는 슬픔의 멜로디로 바뀌었다. 사랑스러운 눈빛은 이제 그리움으로 빛나고 너의 미소만 내 마음 속에 깊이 새겨졌다. 아무 말 없이 떠나간 너를 떠올릴 때마다 너는 내…
아름다운 꿈,아름다운 꿈,"가을이 오기 전
아름다운 아침은 아름답다
가을빛에 비친 하늘, 그 안에 있는
누군가가 봄을 불러낸다면
봄이 오는 길목마다
꿈을 꾸며 걷고 싶은 마음뿐이라
그렇게 아름답고 향기로운 밤이다.
오랜 세월 동안 쌓여온 내 안의 아픔과 미움도
그 속에 묻어주고 치유해 줄 수 있다.
세월과 이별하는 순간에도
마음속에 스며드는 그리움이 있다면
가슴에 푸른 잎 하나쯤으로 남기고 싶어 한다.
살다 보면 언젠가는 가슴속 깊은 곳까지도 찾아오고 싶다.",0.8762251138687134,0.8687322735786438,0.12377488613128662,고요함의 달빛 존재 천년의 성을 지나 바람처럼 달려오고 있는,당신의 봄을 닮은 꽃잎들이 생각이라면 이내 꽃이 피는 갯벌과 언덕에 아카시아 편지가 보내온 하얀 마음을 읽어볼 수 있는 산들바람 당신의 강물위에 마음을 다시 써내려 갑니다. 물결처럼 흘러 그리움의 하늘 호수가 보이면…
