prompt,gen_title,gen_body,sim_top1,sim_top5_mean,novelty,nn_title,nn_excerpt
아름다운 바람,아름다운 바람,"하늘 높이 날아오르는 눈발처럼
기대하고 꿈꾸며 내 마음 속에 그려지는
내 마음을 알 수 있는
그렇게 아름다운 바람이 되어 주는
바람의 시작은
꿈속의 그 순간에 있어서
달빛에 그리움으로 채워진
노란 빛이 되어 주고 싶은 곳이면
어느새 가을이 왔는지
산허리에 서면
아름다운 풍광을 볼수 있고
푸른 들판의 쉼터에서
꽃잎들의 노래를 부르며
순수의 세계로 가는 길을 걷고 있습니다.
그래서 아름다운 날에요
사랑하는 그대에게 이 글을 써 주마.
사랑의 노래",0.9067764282226562,0.8850849270820618,0.09322357177734375,고요함의 달빛 존재 천년의 성을 지나 바람처럼 달려오고 있는,당신의 봄을 닮은 꽃잎들이 생각이라면 이내 꽃이 피는 갯벌과 언덕에 아카시아 편지가 보내온 하얀 마음을 읽어볼 수 있는 산들바람 당신의 강물위에 마음을 다시 써내려 갑니다. 물결처럼 흘러 그리움의 하늘 호수가 보이면…
시린 바람,시린 바람,"눈보라를 타고 건너와서
그대의 마음을 녹여줄
바람과 함께하는 바람의 노래
그리움의 씨앗을 뿌리고
풀잎들의 정겨운 마음속으로
고운 햇살 하나 비춰주고
마음속에 품고 있는
꿈의 소중함과 그 아름다움으로
하나 되는 시간이 되어
시련이 밀려오는 곳마다
푸른 숲이 되려하고 있습니다.
그래서 아름다운 날에요
별빛의 한 페이지를 모아놓은
초록색의 숲속에도
노래의 느낌을 가진
강물처럼 푸르른 꿈들이
아침 이슬비의 기다림을 읽어내고 있어요.
숲 속에서",0.9024909734725952,0.8961426019668579,0.09750902652740479,노래가 건설한 꿈이라는 소리의 성벽과 그림 속에,달빛만 비쳐도 반딧불을 보내 연초록의 시간을 실어오고 나비들의 아침이 되어 바라보는 마음의 속삭임들이 들려주는 산책 같은 그리움의 기다림 속에 보이는 그 아름다움의 세계는 밤과 낮이 없고 오직 봄이라는 숲이 있어. …
별빛 노래,별빛 노래,"그대의 그리움 속에
그대는 어둠의 마음속에
그대가 부르는 노랫소리 들으며
그리움의 고요함만이
별들의 마음으로 들려주고 싶도록
그래서 아름다운 날에요
아침에 눈을 뜨고 별을 향해
바람과 바람과 별이 되어서
다시 떠나가는 길목마다
그리운 내 마음의 고향이여
누군가의 이름표 앞에
나에게 말을 걸어봐도
당신의 기억 속의 어느 곳에
한 줄의 글이 없어도
마음이 열어놓고 싶은 꿈에서
하나둘 씩 눈물로
소낙비를 불러올 수 있도록
하얀",0.8901273012161255,0.8787234425544739,0.10987269878387451,어느날이던 별빛처럼 빛나던 당신의 그리움이여,당신의 그리움은 다시 안녕하신가요. 별빛 건너 무지개의 시간에 당신의 보랏빛 아침의 손목시계의 기다림은 그렇게 소낙비가 가는 이슬비의 아침으로 꿈길을 걸어갈 수 있는 작은 골목길이 보이면 풀잎들의 싱그러운 노랫소리가…
가을 노래,가을 노래,"낙엽 지는 소리가 들려온다.
아름다운 계절의 끝,
시린 마음까지 가닿는다.
눈은 여전히 아련하다.
봄에는 바람이 분다.
저녁노을이 붉게 물든다.
가을엔 바람도 잦다.
밤하늘의 별들이 저마다 나를 반긴다.
빛나는 노랫소리 들으며
나의 벗들은 아름다운 추억으로 새롭다...
고운 한숨에 잠긴 그 순간도
그렇게 나에게로 날아간다...
어느새 떠나가는 나의 마음은
그대가 내게 준 따뜻한 사랑임을 잊지 않고
떠나려는 마음을 채우니 더욱 아름답게 느껴진다.
그리고 그것이 우리의 사랑이",0.8897788524627686,0.8838247060775757,0.11022114753723145,옛일이 그리워 지는 계절,떠나지 않는다 가을날들은 겸손하여서 작은 풀잎 하나에도 정다운 손길로 다독거림 누구도 대신할 수 없는 아름다운 날들인 하루가 저물어 간다 그대는 누군가의 가슴에 고운 추억으로 남겨지는 날들있었나 가슴에 품어진 사랑 …
우리 모습,우리 모습,"우리가 서로에게 주는 선물
언제나 마음껏 웃으며
우리를 만나면 행복할까, 이젠
그대가 아닌 내가 있는 곳
우리 모두의 마음이 하나가 되어서
서로가 서로를 위해
따스한 마음을 전하며 행복한 삶을 살아가자
그리움의 의미를 알아가며
사랑하는 당신을 보며
아름다움이 무엇인지 알게 될 때
당신의 꿈이 이루어지는 곳으로
다시 만나게 되는 아름다운 세상
어쩌면 우리의 사랑이 함께 하는 아름다운 세상이 되겠지?
이제 우리는
함께 어울려 살아가는 소중한 인연임을 잊지 마시길 바란다.
앞으로 이",0.8891880512237549,0.8457934260368347,0.11081194877624512,아름다운 추억,정겨웠던 삶에서 떠오른 아름다운 추억에서 우리의 사랑임을 알았습니다 백발이 성성하면서도 사랑하면서 행복을 느끼며 미소를 주고받으며 다정스럽게 손잡고 걸어 온 당신과 나와의 지난 삶이 행복한 삶임을 알았습니다 세월이 …
푸른 미소,푸른 미소,"내 맘을 받아주는
내 마음 속에 있는
푸른 빛이 새들의 눈동자에서 흘러간다
바람과 이슬비가 쏟아지는 길
봄의 첫 번째 만남인 봄은
그 어느 때보다 따뜻하네.
고요함과 고독이 주는
우울한 느낌, 따스함이
가슴 저미게 하는 바람 소리도
아직 서려있는 슬픔도
마음 속에서 스며들어오는
산뜻한 느낌을 만들어내고 있네요.
당신이 그리운 날, 당신 마음을 헤아리는
사랑하는 그대에게
가끔씩 미소로
두 손을 맞잡으면",0.8862271308898926,0.8714309930801392,0.11377286911010742,고요함의 달빛 존재 천년의 성을 지나 바람처럼 달려오고 있는,당신의 봄을 닮은 꽃잎들이 생각이라면 이내 꽃이 피는 갯벌과 언덕에 아카시아 편지가 보내온 하얀 마음을 읽어볼 수 있는 산들바람 당신의 강물위에 마음을 다시 써내려 갑니다. 물결처럼 흘러 그리움의 하늘 호수가 보이면…
물방울 호수,물방울 호수,"햇살만 뜨면 떠오르는
천안함 함미의 꿈틀꿈틀이 있는 곳
바람이 불면 그 자리에 서서
한 폭의 수묵화로
하나의 아지랑이가 그려놓은 꽃으로 그린다
그림 속에 아름다운 빛이 숨쉰다.
그렇게 바람이 부는 곳에서
아름다운 추억을 만들어 낸다.'
가슴속에 흐르는 바람은
햇빛에 담긴 생명의 잉크처럼
푸른 하늘을 가득 채우는 것 같은 느낌이다.
우리의 가슴속에는 늘 푸른 빛도 있고
너무나 맑은 물결과 함께
물방울 호수가 반짝이는 것처럼
하늘에선 찬란한 태양의 불꽃",0.880448579788208,0.8665237426757812,0.11955142021179199,고요함의 달빛 존재 천년의 성을 지나 바람처럼 달려오고 있는,당신의 봄을 닮은 꽃잎들이 생각이라면 이내 꽃이 피는 갯벌과 언덕에 아카시아 편지가 보내온 하얀 마음을 읽어볼 수 있는 산들바람 당신의 강물위에 마음을 다시 써내려 갑니다. 물결처럼 흘러 그리움의 하늘 호수가 보이면…
이미 그리워,이미 그리워,"추억의 시간에는
그리움이 주는 느낌이 있습니다
어디서 만나고 싶은 그리움인지
그때 내 맘을 알아본다면
이제부터 다시 만날 수 있을까요
한가로운 사랑으로 다가와서
그리고 가슴에서
아픈 기억들이
다시 살아나면 좋겠네요!
언젠가는, 잊지 못할 그대여야 하겠죠!
사랑에 빠져있던 나는
무엇보다 소중했습니다.
미움과 상처는
모두에게 아픔이고
슬픔은 모두 자신을 감싸주었으니깐요.
더불어 사는 삶은 행복이어야 할 것",0.8803911209106445,0.8442116975784302,0.11960887908935547,아름다운 추억,정겨웠던 삶에서 떠오른 아름다운 추억에서 우리의 사랑임을 알았습니다 백발이 성성하면서도 사랑하면서 행복을 느끼며 미소를 주고받으며 다정스럽게 손잡고 걸어 온 당신과 나와의 지난 삶이 행복한 삶임을 알았습니다 세월이 …
별빛 하늘,별빛 하늘,"밤하늘의 별빛과
별빛 속에 숨어있는
향기와 향기
아침에 뜨는 햇살
천상의 빛도 한없이 반짝인다.
반면 낮은 뜨겁지만 그윽한 숨결에
그저 눈부셔서 별이 되어도
이별의 마음을 녹여주는
고운 인연들이여서
어디선가 날아오듯
그리움이 스며든다
사랑하는 내 마음에
하나둘 빛을 더하게 되면
그대는 아름다운 꿈을 꾸게 된다...
달빛이여, 별을 보며
나를 찾아오라
그러므로 나는 영원히 너를 사랑",0.8748567700386047,0.8642653226852417,0.12514322996139526,별빛의 마음에 다시 서면 아름다움의 본체는,당신의 하늘이 있으면 언제나 푸른 꿈은 별들이 날아옴을 다시 허락합니다. 마음의 언덕 느림처럼 날아와 그리움은 빛남이 되어도 누구에게나 나누어 줄 수 있는 따듯함과 정겨움 때로는 풀잎들의 기다림이 되어 따로 겉옷을 …
아름다운 별,아름다운 별,"아련한 그리움으로 피어오른 꽃들
순결한 여인의 향기로운 사랑
아름다운 미소와 고운 웃음으로 반짝이는 하얀 하늘빛
이제야 비로소 나는 너를 알아보는구나.
우리들은 늘 푸른 하늘을 보고 싶어하지만
오랜 세월 흘러온 우리들의 마음속에는
꽃처럼 빛나는 이 세상의 모든 것들은
거미줄에 묶여 있는 것이 아닌 듯하다.....
나의 찬란한 향기로 온 세상을 뒤덮어주고 싶은 그대여서
그대가 나의 희망이 되었으면 좋겠다..!
지금도 그대는 푸르름을 타고 흐르며
나는 내 마음을",0.8744866847991943,0.8582128286361694,0.12551331520080566,코스모스 상념,너의 미소처럼 맑고 고요하다. 가을 햇살에 빛나는 꽃잎 너의 이름을 부르는 듯한 음유 하늘빛은 너의 눈동자를 닮아 물결이 일렁이는 강물처럼 언제나 내 마음을 흔들어 놓았다. 그 그리움은 가을 속에 묻혀 다시 오지 못…
