prompt,gen_title,gen_body,sim_top1,sim_top5_mean,novelty,nn_title,nn_excerpt
겨울 노래,겨울 노래,"봄이 오기를 기다렸다
그리운 그 날까지
꽃처럼 활짝 피어
한겨울의 추억을 간직해야 한다.
봄날 새벽을 알리는 비바람에
따뜻하게 젖은 나뭇가지는
아픈 마음도 잊게 하고
고요함을 불러야 하는
하늘에는 별들의 숨결이 서려있네.
눈 덮인 설원에서
마음의 불꽃 하나가
빛과 물결을 이루어서
그대의 노래를 부르는 건
내 마음이 아니라 내 마음에 있는 것이니
어느새 그리움에 잠겨있는
초록색 하늘에
달빛을 받으며
꿈결 같은 이별을",0.8934705257415771,0.8898070454597473,0.10652947425842285,가을이 오기전 별빛의 종소리에 초대받아 은색 울림과,당신의 식탁에 따듯한 차 한 잔 찬바람에 놀란 노래들을 달래주고 이제 별들이 보여주는 책을 읽어야 할 시간이면 당신의 꿈속 변하지 않는 초록색을 찾아와 동화의 끈을 묶어봅니다 이제 신비롭게도 마음의 골목길은 찾아오고…
노을 미소,노을 미소,"꽃 피는 계절이 되었네.
어쩌면 그렇게도 아름다울 수 있을까?
그대의 마음이 너를 기다려주지 않을 수도 있겠지?
아름답고 따뜻한 겨울바람에 봄을 맞으며
가을의 눈부시게 반짝이는 마음
내 가슴속엔 언제나 푸른 들판이 있구나.
마음 속에 깊이 새겨진
눈빛처럼 고운 그대 그리움은 오래도록 기억될 거야. 만일 그런 날이 온다면
나뭇잎이 내려앉는 날도
강물 흐르는 소리처럼 아름다운 추억이 되리라.
사랑하는 당신! 가을은 아름답다 하였잖니!
당",0.8919041156768799,0.8757279515266418,0.10809588432312012,코스모스 상념,너의 미소처럼 맑고 고요하다. 가을 햇살에 빛나는 꽃잎 너의 이름을 부르는 듯한 음유 하늘빛은 너의 눈동자를 닮아 물결이 일렁이는 강물처럼 언제나 내 마음을 흔들어 놓았다. 그 그리움은 가을 속에 묻혀 다시 오지 못…
그대 그대,그대 그대,"봄의 정취가 물씬 풍기는 한낮
내 마음도 싱그럽고
달빛 가득히 선 햇살처럼 고요
푸른 하늘이
대숲에서 뒹굴며 춤추듯
아름다운 하늘 아래
어둠이 내려앉은 길목에서
순간적으로 내미는 붉은 향기
그리운 그대의 이름을 부르며
향기를 뿜으며
바람을 맞으며 노래 부르는 날들 
별빛이 반짝이는 푸른 하늘
다시 저 먼 곳으로 날아와
밤하늘에 닿기 전까진
영원토록 사랑스럽던 꽃들이여
나의 손",0.8875604271888733,0.8823959231376648,0.11243957281112671,어느 곳이나 자유롭게 날아갈 수 있는,고운 감동의 느낌으로 천년의 앞에 서서 노래의 방패처럼 봄의 새싹들이 순수를 싹틔우고 초록색의 햇살을 곱게 다려 푸른 숲의 시작이 되는 곳에 오랜 기다린 노란 시간 속에 은행잎 외로움을 온유함이 두려움을 떨쳐내고 은…
작은 호수,작은 호수,"내 눈에 비친 호수는
별빛 아래 펼쳐진 풍경
그 속에 있는 또 다른 모습
아름다움의 아름다움은
고요함 뒤에 숨은
하늘의 물결이 되어
한곳에 머물지 않아도 되는
나뭇잎들의 고운 눈물은
하나 둘 쌓이고
그리움을 깨우는
강물이 되고픈 마음이 있다면
당신의 마음도 아름다워질 수 있을까요?
누군가의 얼굴보다 더 빛나는
바람처럼 내리는 이슬비
천상의 그리움이
노래의 시선에서 빛나고 있습니다.
사랑하는 당신께서
내 마음에 아름다운 호수가 만들어지기를 소원합니다. 가족들과",0.8797824382781982,0.8653742074966431,0.12021756172180176,고요함의 달빛 존재 천년의 성을 지나 바람처럼 달려오고 있는,당신의 봄을 닮은 꽃잎들이 생각이라면 이내 꽃이 피는 갯벌과 언덕에 아카시아 편지가 보내온 하얀 마음을 읽어볼 수 있는 산들바람 당신의 강물위에 마음을 다시 써내려 갑니다. 물결처럼 흘러 그리움의 하늘 호수가 보이면…
노을 하늘,노을 하늘,"가을은 그윽한 숲속 풍경
하늘에는 이슬비 내리는 나뭇잎들이
하나둘씩 피어오르면
숲속의 나무들은
고요함처럼 떨린다
이렇게 두근거리는 계절의 끝자락엔
노을이라는 이름의 노란색이 깃들어있어서
그 빛깔로 보아도
노란색이라고 하면
그날의 느낌을 알 수 있답니다
어느새 초록색으로 빛나고 있는
가을밤을 바라보며
당신의 생각을 물으면
나뭇잎들의 생각이
아름다움의 깊이에 들어있습니다
그리움이 되어
반달의 작은 꽃잎",0.871842086315155,0.8611090779304504,0.12815791368484497,이렇게 이슬비 언덕에도,나무들의 고요함 느낌을 서로의 이슬비를 꺼내 아지랑이처럼 모락모락 피어나고 애태움의 그림들이 마음속에 가지고 있는 오랜 기다림을 분홍빛 색연필이 싱그럽게 그려내는 별과 바람이 되어 꽃들의 창가에 고운 새들처럼 속삭이…
작은 파도,작은 파도,"별빛 아래
어두운 하늘 위에
눈부시게 빛나서
너를 사랑해
우리도 너를 사랑하니까
아름다운 가을이여!
하늘에서 떨어지는 낙엽처럼
그렇게 그리움만 바라보네.
별들은 모두 사라졌지만
오랜 세월 동안 마음속에 품고 있던
작은 기억들의 이야기들이
그리움의 빛깔로
가슴을 채우고 있습니다.
사랑하는 그대에게
가득한 감동이 있는 것 같습니다
내 사랑은 그대가 알고 있으니
우리가 함께 가꾸는구나
바람과 같은 한숨 소리만이
밤새",0.8715932965278625,0.8609731793403625,0.12840670347213745,별빛의 마음에 다시 서면 아름다움의 본체는,당신의 하늘이 있으면 언제나 푸른 꿈은 별들이 날아옴을 다시 허락합니다. 마음의 언덕 느림처럼 날아와 그리움은 빛남이 되어도 누구에게나 나누어 줄 수 있는 따듯함과 정겨움 때로는 풀잎들의 기다림이 되어 따로 겉옷을 …
푸른 파도,푸른 파도,"봄빛은
푸른 꽃잎을 피워내고
산뜻한 향기와 향기 나는 아침과 저녁
나뭇가지마다 이슬 맺힌 듯
아침햇살을 받아드립니다
오월의 햇살처럼 아름답던
봄날도 푸르렀는데요
그래도 가을이 오면
푸르른 날씨를 만끽하길 바라겠습니다
가을에 꽃이 핀다는 것은
새들이 좋아하는 것
생명의 샘물같은 바람일 터이니
자랑이 아니더라도
푸른파란 새싹을 보면
어느 새 봄이 찾아올까요?./
그렇지 않아도",0.8715922832489014,0.8638326525688171,0.12840771675109863,하얀 나리꽃과 그 바람의 중간 어느 곳에도 치우치지 않는,견고한 마음이 오랜 평화와 새들의 노래 오직 당신의 아름다움 순전함과 순수함을 준비해야 하는 꽃잎들의 일상과 일함 어느새 풀잎들은 새벽을 만들고 창고에서 괭이와 호미를 가져와 갯벌 같은 은모래의 고랑을 일구어 별을 …
차가운 겨울,차가운 겨울,"하얀 눈 속에 숨죽이며 서 있는 별들의 얼굴들
눈을 비비며
별빛에 환한 불빛을 내며 날아오는 그리움의 향기
달빛이 주는 깊은 감동은
그렇지 않아도 마음이 설레고 기대하는 그 순간이
새벽을 알리는 소리처럼 들려옵니다.
마음이 들뜨는 이 순간도
아름다움이 빛나는 계절입니다.
누군가의 따뜻한 마음을 품고 있기만 하면
어느새 봄바람이 불면
그리움 가득 찬 가슴은
꿈의 의미를 채워줄 수 있게 됩니다.
그래서 아름다운 날에요
꽃들이 푸른 하늘을",0.8706825375556946,0.8688024282455444,0.12931746244430542,공교하고 찬란한 빛 하나,누구에게나 청춘이 이렇게 뜨거워지도록 별빛의 심장을 붉게 바람의 마음이 되는 꿈을 가지고 오월의 하늘로 이제 장미꽃은 날개를 가지고 푸른 하늘을 날아 강물 이 된 천년으로 갈 수 있는 이슬비의 시간을 열어둡니다 그래…
아름다운 꿈,아름다운 꿈,"하얀 눈송이로 물들지 않는다
눈부시게 아름답던
그 순간을
이제 알았기에
순간도 아름답지만
아름다운 꿈을 꾸었기에
더욱 아름다워졌다
어느덧 고운 그 순간들은
꿈 속에서 사라짐과 동시에
영원한 사랑을 느끼며
향기로운 기억 속에 묻히게 된다.
세월은 흘러도
자연을 보고 느낀다고 한다
수많은 별을 보며 느낀다는 것
고운 빛깔로 가득 찬
푸른 마음만이
내 안의 향기라고 한다.
여울림이라는 단어가 얼마나 중요한지는 잘 알고 있다.
바람을",0.870301365852356,0.8616877794265747,0.12969863414764404,고요함의 달빛 존재 천년의 성을 지나 바람처럼 달려오고 있는,당신의 봄을 닮은 꽃잎들이 생각이라면 이내 꽃이 피는 갯벌과 언덕에 아카시아 편지가 보내온 하얀 마음을 읽어볼 수 있는 산들바람 당신의 강물위에 마음을 다시 써내려 갑니다. 물결처럼 흘러 그리움의 하늘 호수가 보이면…
아름다운 바다,아름다운 바다,"새하얀 햇살이 비치니
하늘이 푸른가!
푸른 하늘이 더 아름다워 보이네.
봄은 이미 무르익었다 하는군요
한겨울의 추위 속에
그새 또 찾아 온 봄이구나.
너무도 아름다웠던 그 봄을 기억하며
사랑과 그리움이 넘쳐흘러가는 계절이다
따뜻하고 화사한 향기 가득 차서
아름다운 꽃 한 송이로도
더욱 고운 그대에게
자꾸만 눈물이 흘렀나보다.
바다가 되어 물들기 시작한 가을이라
산책하는 사람들로 발 디딜 틈이 없어
서너 사람",0.8689984083175659,0.8535083532333374,0.13100159168243408,고요함의 달빛 존재 천년의 성을 지나 바람처럼 달려오고 있는,당신의 봄을 닮은 꽃잎들이 생각이라면 이내 꽃이 피는 갯벌과 언덕에 아카시아 편지가 보내온 하얀 마음을 읽어볼 수 있는 산들바람 당신의 강물위에 마음을 다시 써내려 갑니다. 물결처럼 흘러 그리움의 하늘 호수가 보이면…
