prompt,gen_title,gen_body,sim_top1,sim_top5_mean,novelty,nn_title,nn_excerpt
물방울 호수,물방울 호수,"어느 순간부터 하얀 물안개처럼 떠있는 듯 고요
한 여름을 즐기며
고요함의 고랑을 넘어오는 햇빛은
가을의 시작이 되는 가을밤을 맞이합니다.
바람에 흔들리지 않고
그렇게 빛나는 별빛 아래서
맑음이란 마음을 담아
서로를 향한 그리움을 열어가는
숲의 언덕으로 가는 길 위에
나비들의 꿈들이 펼쳐집니다.
그래서 아름다운 날들. 넝쿨째 굴러온 나뭇잎들은
아름다움의 나비가 되어 날아오르는 모습입니다.
이제 아름다운 날에요
그리움이 만들어 내는
푸른 숲과 고운",0.9068624973297119,0.8910987973213196,0.09313750267028809,이렇게 이슬비 언덕에도,나무들의 고요함 느낌을 서로의 이슬비를 꺼내 아지랑이처럼 모락모락 피어나고 애태움의 그림들이 마음속에 가지고 있는 오랜 기다림을 분홍빛 색연필이 싱그럽게 그려내는 별과 바람이 되어 꽃들의 창가에 고운 새들처럼 속삭이…
아름다운 바다,아름다운 바다,"봄을 기다리는 기다림
꽃처럼 향기롭게 피어나는 꽃들의 이름
이제야 비로소 꽃이 피는 계절
보이는 길 위에서 한 그루의 아름다움을 느끼는 것은
봄기운 가득 차있는 나무들
한 폭의 그림을 보는 것 같아요
눈물 흘리는 마음속에
달빛에 물든 숲속까지 함께하는
사랑은 더해지는 아름다움인 것 같죠?
나뭇잎 사이로 흐드러지게 핀 새들이
어느새 향기로 마음을 채우고 있는
숲속의 너덜너덜한 나뭇가지도
고요함이 그리움이 되어
아름다",0.904485285282135,0.8917086720466614,0.09551471471786499,이렇게 이슬비 언덕에도,나무들의 고요함 느낌을 서로의 이슬비를 꺼내 아지랑이처럼 모락모락 피어나고 애태움의 그림들이 마음속에 가지고 있는 오랜 기다림을 분홍빛 색연필이 싱그럽게 그려내는 별과 바람이 되어 꽃들의 창가에 고운 새들처럼 속삭이…
푸른 꿈,푸른 꿈,"볕이 들지 않는 곳이면
고요함이 있는 곳이
바람 부는 곳은 어디일까
어느 곳으로 가든
아름다움의 씨앗을 심어놓은
그리움이라는 고요한 언덕길에서
숲의 이름을 알 수 있도록
초록색의 순수를 보내옵니다
언제나 그 느낌이 기억으로 간직되듯
소낙비 내리는 소낙비를 바라보며
그렇게 그리운 마음들이여서
오랜 세월 함께 해온
푸른 꿈을 가슴에 품고
생각의 향기로 가득찬 가을은 깊어갑니다.
살며시 만져보고 싶은 것
노래의",0.895862340927124,0.886407196521759,0.10413765907287598,노란 별이 찾아오면,슬픔이 외롭지 않도록 노래의 기도를 주고 봄과 정겨움이 따듯한 눈물이라는 심장을 다시 숲의 중심에 두어 별 하나의 마음을 바라봅니다. 꽃의 시작이라는 알 수 없는 생각의 강물들 어는 곳에서 시작되었는지 노을의 가슴에…
햇살 파도,햇살 파도,"봄날처럼
자꾸만 밀려들며
아득히 익어가는 계절을 기다리는
별빛과 별빛의 사랑으로
기다림이 있는 곳이
노래의 꿈이 되고
그렇게 푸른 마음이
하얀 꽃잎에 스며들고 있습니다.
봄날에 오면
오랜 기다림과 그리움의 시간 속에
꿈은 아름답게 빛납니다.
바람의 시계를 꺼내 보면
푸른 숲속에 들려오는 노랫소리입니다.
나뭇잎도 뽀얗게 피어오르는
새들의 하얀 목련 속삭임이
누구에게나 들을 수 있도록
그리움이 되어
하늘에",0.8953580260276794,0.8908919095993042,0.10464197397232056,노래가 건설한 꿈이라는 소리의 성벽과 그림 속에,달빛만 비쳐도 반딧불을 보내 연초록의 시간을 실어오고 나비들의 아침이 되어 바라보는 마음의 속삭임들이 들려주는 산책 같은 그리움의 기다림 속에 보이는 그 아름다움의 세계는 밤과 낮이 없고 오직 봄이라는 숲이 있어. …
푸른 파도,푸른 파도,"한 방울의 눈물도
내 가슴에 묻어두고 싶지만
한방울의 눈물이
당신의 가슴에도 남겨져 있음을
가슴에 묻어버릴 수 있을까요
그렇게 바람결처럼 흘러가는
푸른 물결이
얼마나 아름다운가를
바람이 울리는가
아름다움의 느낌은
빛남이 되어
순수의 마음으로 갈수 있도록
고요함의 언덕을 만들고
하나둘씩 가이드라인을 만들어야 하는
어머니와 아버지의 마음
봄날의 나무들이 보내온
그리움을 심어주고 있습니다
그래서 항상 푸른 꿈",0.8941236734390259,0.8774015307426453,0.10587632656097412,고요함의 달빛 존재 천년의 성을 지나 바람처럼 달려오고 있는,당신의 봄을 닮은 꽃잎들이 생각이라면 이내 꽃이 피는 갯벌과 언덕에 아카시아 편지가 보내온 하얀 마음을 읽어볼 수 있는 산들바람 당신의 강물위에 마음을 다시 써내려 갑니다. 물결처럼 흘러 그리움의 하늘 호수가 보이면…
푸른 하늘,푸른 하늘,"세상도 모두 푸르지만
맑은 날은 언제나 그리운 계절이고
푸른 별들의 저녁 노을이 아름답게 피어나는
그리움의 느낌으로 부르는 아침의 시간
별빛과 강물의 꿈처럼
나비들이 보내는 고운 눈물이
아침햇살에 빛나는 이슬비 속에
산까치의 기다림이 있는 곳이면
고요함의 중심에는
그렇게 가을의 정취로 반짝이는 바람이 불어오고 있다
그래서 아름다운 날에요
어머니의 따뜻한 손길이 필요한 곳에요
어쩌면 사랑은 마음에서 맺어지는 것일지도 모르나.
사랑하는 그 마음이 마음에",0.8939107656478882,0.8799037933349609,0.10608923435211182,이렇게 이슬비 언덕에도,나무들의 고요함 느낌을 서로의 이슬비를 꺼내 아지랑이처럼 모락모락 피어나고 애태움의 그림들이 마음속에 가지고 있는 오랜 기다림을 분홍빛 색연필이 싱그럽게 그려내는 별과 바람이 되어 꽃들의 창가에 고운 새들처럼 속삭이…
햇살 웃음,햇살 웃음,"바람 부는 소리 들리는
시냇물처럼 차오르는
하늘의 푸르름으로
햇살이 쏟아지는 곳이면
나뭇잎이 바람에 ~
그렇게 곱게 물들인다
아름다움의 꽃이 피어난다.
너무나도 아름다운 꽃 이름
세상의 아름다움에 취해있던 그
이제는
다시 푸른 하늘 아래서
푸른 꿈과 그리움으로 가득한
꽃향기에 젖어있는
봄날은 그리운가.
그래서 봄날에요
당신은 행복하게 살고 있다
우리들은 함께 살아가는 것이 아니라
서로 의지하며 살아왔고
함께",0.8913915753364563,0.8841880559921265,0.1086084246635437,이렇게 이슬비 언덕에도,나무들의 고요함 느낌을 서로의 이슬비를 꺼내 아지랑이처럼 모락모락 피어나고 애태움의 그림들이 마음속에 가지고 있는 오랜 기다림을 분홍빛 색연필이 싱그럽게 그려내는 별과 바람이 되어 꽃들의 창가에 고운 새들처럼 속삭이…
차가운 미소,차가운 미소,"저만치 떨어져 있는 햇살 아래서
아름다운 추억을 안고 있는
가을이 오고 있다.
그것들의 계절은
별빛처럼 뜨겁다.
바람, 구름 소리도
비록 가을의 고요함일지라도
봄과 더불어 빛나는 시간들
얼음 속에 잠긴 숲속 풍경들도
모두가 아름다운 추억으로 남아야 할 것이다./
하늘아래
미소가 내리는 듯 반짝이는 느낌이다.
그리고 눈부시게 하얀 이끼 같은
초록은 언제나 푸른 잎을 들고
새들이 울부짖는 곳에서
눈물의 노래를 부르고 있다.// 그 노래에",0.8910589218139648,0.8732196092605591,0.10894107818603516,겨울 비,"눈 섞인 빗방울이 내 마음을 두드리고, 그 소리에 나는 먼 옛날을 떠올린다. 하얗게 눈물 흘리며 걷던 내 작은 발걸음이 생각난다. 그때 그곳의 겨울은 별처럼 신비한 곳에 있는 듯했고, 하나의 하늘 아래 우리는 서로를…"
겨울 파도,겨울 파도,"가을은 내 마음을
깊이 안아주는 따뜻한 숨결로
봄처럼 따뜻해 지는 순간이네요
한없이 차오르는 햇살 속에서
온기가 퍼지는 그 순간을
나도 기억할 수 있을까요
내 마음이 쉼 없이 흘러가는지.
파도를 타고 흐르는 강물이다
가을 하늘 아래 떠 있는
눈부신 눈송이들 그리고
어두운 밤 풍경 속에
언제나 향기롭게 피어나는 꽃봉오리. 하지만
그건 그리움의 시간이 아니오라고
그래서 아름다운 날이면 좋겠습니다.
겨울과 함께하는 마음 씀",0.8816540241241455,0.8676503896713257,0.11834597587585449,고요함의 달빛 존재 천년의 성을 지나 바람처럼 달려오고 있는,당신의 봄을 닮은 꽃잎들이 생각이라면 이내 꽃이 피는 갯벌과 언덕에 아카시아 편지가 보내온 하얀 마음을 읽어볼 수 있는 산들바람 당신의 강물위에 마음을 다시 써내려 갑니다. 물결처럼 흘러 그리움의 하늘 호수가 보이면…
차가운 바람,차가운 바람,"서늘한 바람은 뜨거운 바람이 되는 것 같지만
뜨거운 바람을 느끼며
따뜻하게 내리는 비는
아름다움이 가득한 아침의 품에 안긴다.
비바람이 불어오는 날이면
반짝이는 햇살도 일렁인다.
온기 속에서 더위도 한 풀 꺾이고
별빛으로 피어오르는 태양은
언제나 향기롭게 스미는 듯 하다.
찬란함 가득 찬 바람과 함께
그토록 아름다운 시간을 보내야 할 것이다. 가령 눈물의 씨앗을 따오면
초록색 꿈들이 반짝인다.
또 하나 마음이 따뜻해지는 그 순간에는
새벽을 알리는 고",0.8761343955993652,0.8624392747879028,0.12386560440063477,겨울마음속으로 걸어온 바람처럼 별빛의 중심이 있어,물주머니만 들고 걸어서 가는 아침 햇살의 여행길 누가 동행하지 않아도 스스로의 빛남이 있도록 목마름도 순수처럼 솟아나고 있는 풀잎들의 샘이면 한 모금 만 마셔도 이렇게 당신의 정결함으로 채워지는 애태움의 진실을 바라…
